"";"OB_0";"OB_1";"OB_3";"OB_7";"OB_10";"OB_12";"OB_14";"OB_16";"OB_17";"OB_24";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_30";"OB_32";"OB_33";"OB_35";"OB_36";"OB_40";"OB_41";"OB_47";"OB_52";"OB_58";"OB_60";"OB_62";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_70";"OB_71";"OB_74";"OB_79";"OB_80";"OB_82";"OB_85";"OB_87";"OB_88";"OB_90"
"OB_0";0;0,0329746;0,0186431;-0,02722;0,0146892;0,025346;-0,00133165;0,0304558;0,00552494;-0,0120878;-0,018121;-0,0138902;0,0177861;-0,0335877;0,0137543;-0,000395129;-0,00868831;-0,0132004;0,0202805;0,00884744;-0,00317613;0,012074;-0,00122046;-0,0270136;-0,0166311;-0,031962;-0,021722;-0,0278282;-0,0215482;-0,0421496;-0,0475312;-0,000480668;-0,00654679;-0,0359698;-0,0405879;-0,00541969;-0,0160251;-0,038369;-0,0115499;-0,017705;-0,0122771;-0,0111218
"OB_1";0,0329746;0;0,00178586;-0,0314281;-0,00997868;-0,00322893;0,014679;0,0202047;0,0193143;-0,0040042;-0,00268939;-0,00357413;-0,00866012;-0,0166676;0,0163439;0,00856307;-0,018372;-0,0184159;0,00280912;0,0167474;-0,0022663;-0,0109987;0,0112689;0,013751;0,013416;-0,034225;-0,0259529;-0,0320409;-0,0238223;-0,0314963;-0,0462801;-0,0135938;-0,0228746;-0,00681704;-0,0289979;-0,0197617;-0,0123384;-0,0306719;-0,0309151;-0,00399433;-0,00614439;-0,00161975
"OB_3";0,0186431;0,00178586;0;-0,0289789;-0,0106843;-0,0137188;-0,00437724;0,0218443;0,0138954;-0,0117073;-0,0106363;0,0410828;0,00273747;-0,0327631;0,0212436;-0,0289987;-0,00150445;-0,016353;0,000453261;0,0264456;0,0289098;-0,00487818;0,0278909;-0,0265814;-0,0175307;-0,0417042;-0,0297494;-0,0187107;-0,022933;-0,0292135;-0,0333588;-0,0324447;-0,0220233;-0,0234297;-0,0378887;-0,0368299;-0,0132732;-0,0271846;-0,0361011;0,00951303;-0,0149211;-0,00716737
"OB_7";-0,02722;-0,0314281;-0,0289789;0;-0,0642398;-0,0382423;-0,00472859;-0,0190259;-0,0482445;-0,0140018;-0,0449275;-0,0354293;-0,0343998;-0,0218613;-0,0476074;-0,0500002;-0,0422823;-0,046711;-0,0334283;-0,0137472;-0,0314982;-0,0405098;-0,030151;-0,000482886;-0,0330957;-0,0469875;-0,0281606;-0,000824954;-0,0431632;-0,0285631;-0,0369412;-0,0389467;-0,0373505;0,00895259;0,0611435;0,00900326;0,00458431;-0,0538021;-0,0609765;-0,0191037;0,00165835;-0,0216512
"OB_10";0,0146892;-0,00997868;-0,0106843;-0,0642398;0;-0,0139855;0,0065126;0,0204337;-0,0329441;-0,031498;0,0069224;-0,0175233;0,00673375;-0,0223515;0,0245947;0,00753247;-0,0287764;0,0264736;-0,022644;-0,0107273;-0,0189937;-0,01957;-0,0103987;-0,0241246;-0,00805472;-0,0264136;0,0443455;-0,017438;0,0220731;-0,0396254;-0,04821;0,0343045;-0,0078309;-0,0290525;-0,0167161;-0,0227802;0,00490602;-0,0377993;0,000822117;-0,0112869;-0,0323769;-0,0226126
"OB_12";0,025346;-0,00322893;-0,0137188;-0,0382423;-0,0139855;0;-0,0154951;-0,00384658;0,0243388;-0,0229675;-0,0143448;-0,00951648;0,0103831;-0,0339206;0,0023944;-0,00135606;-0,0169476;0,0172228;-0,00240824;0,0327405;0,00704841;-0,000559793;-0,0313156;-0,00711254;-0,0156097;-0,0270479;-0,0337955;-0,0223234;-0,0342229;-0,0189435;-0,0449435;-0,0195394;-0,0319198;-0,0141102;-0,033175;-0,0217765;-0,0251314;-0,0375538;-0,0194121;0,0142481;-0,0184652;-0,0239039
"OB_14";-0,00133165;0,014679;-0,00437724;-0,00472859;0,0065126;-0,0154951;0;0,032622;-0,0141063;-0,0019619;-0,0208618;0,000740199;-0,00778304;-0,0354233;-0,0123577;0,00573997;-0,0329059;-0,0278189;-0,00449646;0,00952048;-0,00505978;0,00390456;0,00184669;-0,0162903;-0,0156434;-0,0422389;-0,0143545;-0,0328238;-0,0384367;0,0317604;-0,0390556;-0,0338466;-0,0195128;0,00268738;-0,0416485;0,0567743;-0,0219599;-0,0278974;-0,0469443;-0,0226067;-0,0145794;-0,020728
"OB_16";0,0304558;0,0202047;0,0218443;-0,0190259;0,0204337;-0,00384658;0,032622;0;0,00563438;-0,0121627;-0,0144282;-0,0071036;0,00367607;-0,0391289;-0,000957737;-0,0178901;-0,0166365;-0,0200027;0,000634475;0,00856409;0,015471;0,00298952;-0,0286008;-0,00914764;-0,0136284;-0,0375751;-0,037987;-0,00950291;-0,0199719;-0,0176584;-0,049768;-0,0216574;-0,0263577;-0,0172735;-0,0288576;-0,0290906;-0,0286301;-0,0125145;-0,00967906;0,00445512;0,00390489;-0,0281991
"OB_17";0,00552494;0,0193143;0,0138954;-0,0482445;-0,0329441;0,0243388;-0,0141063;0,00563438;0;-0,0343988;0,0145815;-0,0089179;0,0232884;-0,0373358;0,00316328;-0,020841;-0,028571;-0,00626034;-0,00536849;0,0114996;0,0141805;0,0043228;-0,0371006;-0,0396474;0,0298552;0,00818203;-0,0172269;-0,0320973;-0,0371268;-0,0308253;-0,0487124;-0,0184365;-0,0283927;-0,0349385;-0,0270649;-0,0473555;-0,0361093;-0,0293577;-0,0417647;-0,0179087;0,00398664;-0,00612714
"OB_24";-0,0120878;-0,0040042;-0,0117073;-0,0140018;-0,031498;-0,0229675;-0,0019619;-0,0121627;-0,0343988;0;-0,0152965;-0,00991409;-0,0066115;-0,0127893;0,0341342;-0,0287674;0,0232803;-0,0199737;-0,0230742;0,0248624;-0,0322262;0,0308474;-0,000775247;-0,014907;-0,0018377;-0,0414858;-0,0168619;-0,015633;-0,0253098;-0,0312132;-0,0349963;-0,0385758;-0,0106076;-0,0165235;-0,0221487;-0,0250656;-0,0374171;-0,0266979;-0,0242545;3,50307e-05;-0,0233271;-0,0188393
