"";"OB_0";"OB_1";"OB_2";"OB_4";"OB_5";"OB_9";"OB_10";"OB_11";"OB_15";"OB_16";"OB_19";"OB_20";"OB_22";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_31";"OB_33";"OB_35";"OB_36";"OB_37";"OB_39";"OB_40";"OB_41";"OB_43";"OB_45";"OB_47";"OB_50";"OB_51";"OB_52";"OB_53";"OB_55";"OB_56";"OB_57";"OB_60";"OB_61";"OB_62";"OB_63";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_71";"OB_72";"OB_74";"OB_78";"OB_80";"OB_82";"OB_84";"OB_86";"OB_87";"OB_88";"OB_89";"OB_90"
"OB_0";0;0,0329746;-0,0406713;-0,0335859;-0,0140777;0,0320178;0,0146892;-0,00446632;-0,00707755;0,0304558;-0,015937;-0,00182418;0,00430301;-0,018121;-0,0138902;0,0177861;-0,0335877;0,0137543;0,00158506;-0,0132004;0,0202805;0,00884744;-0,0117113;-0,00393349;-0,00317613;0,012074;-0,0284627;-0,0170492;-0,00122046;-0,0218646;-0,0283803;-0,0270136;-0,00119269;-0,00327798;-0,0324807;-0,0194214;-0,031962;-0,0413085;-0,021722;-0,032279;-0,0278282;-0,0215482;-0,0421496;-0,0475312;-0,000480668;-0,0359698;-0,0517034;-0,0405879;-0,025142;-0,0160251;-0,038369;-0,0149142;-0,017691;-0,017705;-0,0122771;-0,0196459;-0,0111218
"OB_1";0,0329746;0;-0,019392;-0,0161998;-0,0007021;0,00579038;-0,00997868;0,0228066;-0,0279898;0,0202047;-0,00585916;0,00801222;0,0241999;-0,00268939;-0,00357413;-0,00866012;-0,0166676;0,0163439;0,0114505;-0,0184159;0,00280912;0,0167474;0,00124451;0,000583918;-0,0022663;-0,0109987;-0,0409965;0,00697018;0,0112689;-0,0350273;-0,00394747;0,013751;-0,0114095;-0,00767689;-0,0249457;-0,036194;-0,034225;-0,0154758;-0,0259529;-0,0257967;-0,0320409;-0,0238223;-0,0314963;-0,0462801;-0,0135938;-0,00681704;-0,0529183;-0,0289979;-0,0524564;-0,0123384;-0,0306719;-0,0360009;-0,0471972;-0,00399433;-0,00614439;-0,025153;-0,00161975
"OB_2";-0,0406713;-0,019392;0;0,0144229;-0,0179765;-0,0361126;0,0218415;-0,0429316;-0,0272092;-0,0400327;-0,00495092;-0,0471725;-0,0146347;-0,0419992;-0,0234204;-0,00783102;0,0794619;-0,0577923;-0,0499825;0,0763985;-0,044363;-0,042036;-0,0423695;-0,0239242;-0,0371796;-0,0361016;-0,0595986;-0,0455001;-0,0332085;-0,00922842;0,00621045;-0,0268577;-0,00872644;0,0770611;-0,0274382;-0,0053369;0,0149151;-0,0138727;-0,025534;-0,016365;0,000145363;0,0272873;-0,0343451;0,0416236;-0,00572138;-0,015626;-0,00975287;-0,00799229;-0,0440427;-0,00204187;0,00551243;-0,0326629;0,0893561;-0,0190037;-0,0249996;0,0581966;0,0132526
"OB_4";-0,0335859;-0,0161998;0,0144229;0;0,00177263;-0,0435076;-0,00781372;-0,0401073;0,0514912;-0,0168995;-0,0181059;-0,0394288;-0,0130057;-0,0298959;-0,0324981;-0,0180198;-0,00486712;-0,0388262;-0,0336323;-0,00127966;-0,0378685;-0,0360537;0,0279249;-0,0298367;-0,0216035;-0,0354721;-0,0507083;-0,0103397;-0,034798;-0,019399;-0,0247995;0,0179593;-0,0075638;-0,00362892;0,0765793;-0,00371583;-0,0236657;-0,0376686;-0,0158539;0,00711139;0,0678237;-0,0312203;-0,0199142;-0,00208252;-0,0243192;-0,00109921;0,0313498;0,055556;-0,00119042;-0,000576239;-0,0142287;-0,00638052;-0,016009;0,037189;-0,0197195;0,024494;-0,0250247
"OB_5";-0,0140777;-0,0007021;-0,0179765;0,00177263;0;0,00643752;-0,0165181;-0,00831502;-0,0290108;0,00216163;-0,0355123;-0,00473828;0,00124398;0,00486281;0,0237113;-0,0164149;-0,0116377;-0,024684;-0,000738695;-0,010744;-0,00697967;0,0244483;0,000669831;0,0665137;0,00104781;-0,0151928;0,0036862;0,0278333;-0,00825913;-0,0337861;0,0123124;-0,0264711;-0,0190103;-0,0112425;-0,0382281;-0,0181387;-0,0214721;-0,0250889;-0,0213325;-0,0233977;-0,0337443;-0,0370449;-0,04091;-0,0435535;-0,0272538;-0,0371632;-0,0452439;-0,0309741;-0,0347276;-0,0281321;-0,0237718;-0,0429443;-0,0431499;-0,0034008;-0,00542028;-0,0346334;-0,00978109
"OB_9";0,0320178;0,00579038;-0,0361126;-0,0435076;0,00643752;0;-0,00692294;-0,0236299;-0,0401948;-0,0133734;-0,0315035;-0,0274022;-0,021466;0,00758419;0,00961121;-0,0155776;-0,0410584;0,0538867;-0,0205187;-0,0358438;0,0521208;0,00624615;0,0122305;-0,000220233;-0,0131378;0,0108292;-0,0128063;-0,0137097;0,0729792;-0,02515;-0,0198831;0,0127777;-0,0450948;-0,0182672;-0,0209363;-0,0311618;-0,0405237;-0,0443596;-0,0181502;0,000591094;-0,0381953;-0,0148683;-0,0315101;-0,0446717;-0,0139339;-0,0209895;-0,0373812;-0,0455138;-0,00657628;-0,0325081;-0,0196784;-0,0455576;-0,0225196;-0,014738;-0,0293266;-0,0274325;0,00127983
"OB_10";0,0146892;-0,00997868;0,0218415;-0,00781372;-0,0165181;-0,00692294;0;-0,0298064;-0,0463391;0,0204337;-0,000327316;-0,0345815;-0,0101886;0,0069224;-0,0175233;0,00673375;-0,0223515;0,0245947;-0,0111813;0,0264736;-0,022644;-0,0107273;-0,00609739;-0,0176169;-0,0189937;-0,01957;-0,0450476;0,0398007;-0,0103987;0,0506313;-0,0280325;-0,0241246;0,0294527;-0,0245464;-0,0267252;0,00228702;-0,0264136;-0,040203;0,0443455;-0,0373159;-0,017438;0,0220731;-0,0396254;-0,04821;0,0343045;-0,0290525;-0,049884;-0,0167161;-0,0316056;0,00490602;-0,0377993;-0,0416606;0,0223013;-0,0112869;-0,0323769;-0,0256738;-0,0226126
"OB_11";-0,00446632;0,0228066;-0,0429316;-0,0401073;-0,00831502;-0,0236299;-0,0298064;0;-0,0230517;0,015409;-0,0270551;0,000242023;-0,00414635;-0,0151252;-0,0051772;0,00126242;0,0743971;-0,0223404;0,00108499;-0,0276636;-0,0138222;0,020024;0,0252515;0,00840831;0,0190796;0,00225034;-0,0190628;-0,0188666;-0,0333949;-0,00866727;-0,0219707;-0,01845;0,00053839;-0,0420047;0,00523134;-0,0409755;-0,0590861;-0,0433813;-0,0398834;-0,0181264;-0,0449375;-0,0357808;-0,0282335;-0,0199965;-0,0353743;-0,00320344;0,0181371;-0,00870993;-0,0557134;-0,00845294;-0,0345219;-0,0027852;-0,0517681;-0,0147206;0,0791187;-0,0266394;0,00944398
"OB_15";-0,00707755;-0,0279898;-0,0272092;0,0514912;-0,0290108;-0,0401948;-0,0463391;-0,0230517;0;-0,0131391;-0,0491946;-0,0160562;0,0104286;-0,0297823;-0,0247783;-0,0303458;0,0748051;-0,0324574;-0,0394196;-0,0521748;-0,0195129;-0,0112043;-0,0267642;-0,0162946;-0,00738967;-0,033429;0,051868;-0,0353425;0,0187112;-0,0126442;0,00838102;-0,011631;0,0326414;-0,0132726;0,0215844;-0,00108576;-0,0249415;-0,0448952;-0,0106578;-0,0135204;-0,0263526;-0,0269627;-0,0107032;0,00405019;-0,0176542;0,0308032;0,0247105;0,00398974;-0,0560671;-0,0163824;-0,0371455;0,0239238;-0,0526511;0,0151367;0,0696285;-0,0168522;0,0810989
"OB_16";0,0304558;0,0202047;-0,0400327;-0,0168995;0,00216163;-0,0133734;0,0204337;0,015409;-0,0131391;0;-0,0247526;0,0137314;0,002635;-0,0144282;-0,0071036;0,00367607;-0,0391289;-0,000957737;-0,00131921;-0,0200027;0,000634475;0,00856409;0,056216;-0,0127376;0,015471;0,00298952;-0,0312654;-0,00476319;-0,0286008;-0,0178625;-0,022164;-0,00914764;-0,013214;-0,0227261;-0,0298204;-0,0243264;-0,0375751;-0,0134683;-0,037987;-0,0250861;-0,00950291;-0,0199719;-0,0176584;-0,049768;-0,0216574;-0,0172735;-0,0352847;-0,0288576;-0,028246;-0,0286301;-0,0125145;-0,0352106;-0,033349;0,00445512;0,00390489;-0,0290293;-0,0281991
