"Start" "End" "AbsGC" "AbsAll" "GC%"
1 4000 1918 4000 0.4795
4001 8000 1973 4000 0.49325
8001 12000 1782 4000 0.4455
12001 16000 1989 4000 0.49725
16001 20000 1936 4000 0.484
20001 24000 1913 4000 0.47825
24001 28000 2011 4000 0.50275
28001 32000 1945 4000 0.48625
32001 36000 1916 4000 0.479
36001 40000 1862 4000 0.4655
40001 44000 2371 4000 0.59275
44001 48000 2111 4000 0.52775
48001 52000 1895 4000 0.47375
52001 56000 2106 4000 0.5265
56001 60000 2063 4000 0.51575
60001 64000 2143 4000 0.53575
64001 68000 2159 4000 0.53975
68001 72000 2109 4000 0.52725
72001 76000 2325 4000 0.58125
76001 80000 2166 4000 0.5415
80001 84000 2097 4000 0.52425
84001 88000 2148 4000 0.537
88001 92000 2055 4000 0.51375
92001 96000 1920 4000 0.48
96001 100000 1963 4000 0.49075
100001 104000 2009 4000 0.50225
104001 108000 1818 4000 0.4545
108001 112000 1893 4000 0.47325
112001 116000 2008 4000 0.502
116001 120000 2127 4000 0.53175
120001 124000 1961 4000 0.49025
124001 128000 2028 4000 0.507
128001 132000 2020 4000 0.505
132001 136000 1872 4000 0.468
136001 140000 1833 4000 0.45825
140001 144000 1696 4000 0.424
144001 148000 1836 4000 0.459
148001 152000 1927 4000 0.48175
152001 156000 2163 4000 0.54075
156001 160000 1913 4000 0.47825
160001 164000 1680 4000 0.42
164001 168000 1702 4000 0.4255
168001 172000 1833 4000 0.45825
172001 176000 1840 4000 0.46
176001 180000 2026 4000 0.5065
180001 184000 1958 4000 0.4895
184001 188000 1859 4000 0.46475
188001 192000 1756 4000 0.439
192001 196000 1959 4000 0.48975
196001 200000 1986 4000 0.4965
200001 204000 1997 4000 0.49925
204001 208000 2037 4000 0.50925
208001 212000 1745 4000 0.43625
212001 216000 1778 4000 0.4445
216001 220000 2075 4000 0.51875
220001 224000 2172 4000 0.543
224001 228000 1932 4000 0.483
228001 232000 2020 4000 0.505
232001 236000 1732 4000 0.433
236001 240000 1650 4000 0.4125
240001 244000 1671 4000 0.41775
244001 248000 1775 4000 0.44375
248001 252000 1881 4000 0.47025
252001 256000 1701 4000 0.42525
256001 260000 1889 4000 0.47225
260001 264000 1934 4000 0.4835
264001 268000 1821 4000 0.45525
268001 272000 1807 4000 0.45175
272001 276000 1835 4000 0.45875
276001 280000 2136 4000 0.534
280001 284000 1873 4000 0.46825
284001 288000 2184 4000 0.546
288001 292000 1849 4000 0.46225
292001 296000 1969 4000 0.49225
296001 300000 2018 4000 0.5045
300001 304000 1999 4000 0.49975
304001 308000 2030 4000 0.5075
308001 312000 2058 4000 0.5145
312001 316000 1945 4000 0.48625
316001 320000 1848 4000 0.462
320001 324000 1899 4000 0.47475
324001 328000 1892 4000 0.473
328001 332000 1835 4000 0.45875
332001 336000 1867 4000 0.46675
336001 340000 2028 4000 0.507
