"GeneID" "description" "start_position_on_the_genomic_accession" "end_position_on_the_genomic_accession" "Region" "Function"
112444394 "transfer RNA glycine (anticodon CCC)" 11065729 11065801 "HDR" "Non-Coding"
537938 "calcineurin like phosphoesterase domain containing 1" 11392701 11531518 "HDR" "Protein-Coding"
518366 "sorting nexin 29" 10682180 11279625 "HDR" "Protein-Coding"
100139490 "shisa family member 9" 11633245 12158399 "HDR" "Protein-Coding"
104797423 "microRNA mir-1842" 1742695 1742754 "LDR" "Non-Coding"
100313098 "microRNA mir-1225" 1627688 1627780 "LDR" "Non-Coding"
100313089 "microRNA mir-940" 1790895 1790987 "LDR" "Non-Coding"
100313464 "microRNA mir-2382" 1742942 1743018 "LDR" "Non-Coding"
112444449 "transfer RNA glycine (anticodon CCC)" 546202 546272 "LDR" "Non-Coding"
112444391 "small nucleolar RNA ACA64" 1522006 1522132 "LDR" "Non-Coding"
112444384 "small nucleolar RNA SNORD60" 1693066 1693148 "LDR" "Non-Coding"
112444383 "small nucleolar RNA SNORA64/SNORA10 family" 1519879 1520009 "LDR" "Non-Coding"
112444382 "small nucleolar RNA SNORA64/SNORA10 family" 1520525 1520658 "LDR" "Non-Coding"
112444352 "uncharacterized LOC112444352" 362633 364715 "LDR" "Non-Coding"
112444351 "uncharacterized LOC112444351" 329951 336755 "LDR" "Non-Coding"
112444348 "uncharacterized LOC112444348" 951820 957941 "LDR" "Non-Coding"
112444341 "uncharacterized LOC112444341" 1510969 1511922 "LDR" "Non-Coding"
112444337 "uncharacterized LOC112444337" 1459891 1461129 "LDR" "Non-Coding"
104976739 "uncharacterized LOC104976739" 1528912 1531211 "LDR" "Non-Coding"
104975826 "uncharacterized LOC104975826" 1491712 1502252 "LDR" "Non-Coding"
104975822 "uncharacterized LOC104975822" 441678 444050 "LDR" "Non-Coding"
101906195 "uncharacterized LOC101906195" 1715673 1724829 "LDR" "Non-Coding"
100847802 "uncharacterized LOC100847802" 1685469 1693593 "LDR" "Non-Coding"
512439 "hemoglobin, alpha 2" 216496 217264 "LDR" "Protein-Coding"
618441 "methionine sulfoxide reductase B1" 1502594 1507246 "LDR" "Protein-Coding"
532494 "insulin like growth factor binding protein acid labile subunit" 1367704 1370515 "LDR" "Protein-Coding"
508713 "N-acetylglucosamine-1-phosphate transferase subunit gamma" 1072859 1083887 "LDR" "Protein-Coding"
282412 "calcium voltage-gated channel subunit alpha1 H" 930068 988927 "LDR" "Protein-Coding"
550622 "ATPase H+ transporting V0 subunit c" 2012685 2018060 "LDR" "Protein-Coding"
768005 "SLC9A3 regulator 2" 1576576 1588862 "LDR" "Protein-Coding"
515573 "ubiquitin conjugating enzyme E2 I" 1039143 1050827 "LDR" "Protein-Coding"
513545 "chloride voltage-gated channel 7" 1138163 1158736 "LDR" "Protein-Coding"
510343 "tektin 4" 872389 878381 "LDR" "Protein-Coding"
281545 "tryptase beta 2" 997749 999475 "LDR" "Protein-Coding"
327701 "NADH:ubiquinone oxidoreductase subunit B10" 1516661 1519322 "LDR" "Protein-Coding"
618357 "mitochondrial ribosomal protein S34" 1350950 1352204 "LDR" "Protein-Coding"
614560 "CASK interacting protein 1" 1710648 1728751 "LDR" "Protein-Coding"
352959 "ras homolog family member T2" 573403 578699 "LDR" "Protein-Coding"
516233 "NADPH oxidase organizer 1" 1534932 1538859 "LDR" "Protein-Coding"
100140149 "hemoglobin, alpha 1" 219522 220318 "LDR" "Protein-Coding"
511837 "cytosolic iron-sulfur assembly component 3" 628542 635399 "LDR" "Protein-Coding"
504985 "TSC complex subunit 2" 1595277 1626215 "LDR" "Protein-Coding"
286867 "ribosomal protein S2" 1519528 1521705 "LDR" "Protein-Coding"
535236 "MTOR associated protein, LST8 homolog" 1736234 1740142 "LDR" "Protein-Coding"
511692 "TNF receptor associated factor 7" 1693795 1710429 "LDR" "Protein-Coding"
618598 "chromosome 25 C16orf91 homolog" 1119282 1120218 "LDR" "Protein-Coding"
538173 "phosphoglycolate phosphatase" 1742545 1745400 "LDR" "Protein-Coding"
534485 "NPR3 like, GATOR1 complex subunit" 152452 185421 "LDR" "Protein-Coding"
616898 "tubulin epsilon and delta complex 2" 1966625 1970947 "LDR" "Protein-Coding"
787961 "netrin 3" 1975804 1978415 "LDR" "Protein-Coding"
530342 "adenine nucleotide translocase lysine methyltransferase" 619507 621019 "LDR" "Protein-Coding"
511836 "hydroxyacylglutathione hydrolase like" 625429 628537 "LDR" "Protein-Coding"
618440 "ribosomal protein L3 like" 1507603 1514414 "LDR" "Protein-Coding"
515661 "splA/ryanodine receptor domain and SOCS box containing 3" 1355611 1361300 "LDR" "Protein-Coding"
515660 "nucleotide binding protein 2" 1361638 1366861 "LDR" "Protein-Coding"
513526 "small nuclear ribonucleoprotein U11/U12 subunit 25" 118663 120818 "LDR" "Protein-Coding"
509274 "hydroxyacylglutathione hydrolase" 1380350 1392352 "LDR" "Protein-Coding"
100336895 "rhomboid like 1" 579620 582720 "LDR" "Protein-Coding"
100140603 "hemoglobin subunit mu" 214283 215064 "LDR" "Protein-Coding"
100139898 "BRICHOS domain containing 5" 1740015 1742390 "LDR" "Protein-Coding"
100139697 "intraflagellar transport 140" 1184359 1242591 "LDR" "Protein-Coding"
789464 "F-box and leucine rich repeat protein 16" 595081 606604 "LDR" "Protein-Coding"
787784 "deoxyribonuclease 1 like 2" 1761110 1764865 "LDR" "Protein-Coding"
767973 "ring finger protein 151" 1523353 1527393 "LDR" "Protein-Coding"
618512 "Jupiter microtubule associated homolog 2" 1289616 1303831 "LDR" "Protein-Coding"
618487 "meiosis specific with OB-fold" 1395977 1439102 "LDR" "Protein-Coding"
618429 "transducin beta like 3" 1528782 1534840 "LDR" "Protein-Coding"
